Date,Approval Index,Strongly Approve,Strongly Disapprove,Total Approve,Total Disapprove,Margin
4/18/2017,-7,0.32,0.39,0.50,0.50,0.00
4/17/2017,-9,0.30,0.39,0.50,0.50,0.00
4/14/2017,-12,0.30,0.42,0.48,0.52,-0.04
4/13/2017,-13,0.29,0.42,0.48,0.52,-0.04
4/12/2017,-14,0.29,0.43,0.47,0.53,-0.06
4/11/2017,-15,0.28,0.43,0.47,0.53,-0.06
4/10/2017,-19,0.27,0.46,0.44,0.56,-0.12
4/7/2017,-17,0.28,0.45,0.45,0.55,-0.10
4/6/2017,-18,0.27,0.45,0.46,0.54,-0.08
4/5/2017,-15,0.28,0.43,0.46,0.54,-0.08
4/4/2017,-19,0.27,0.46,0.43,0.57,-0.14
4/3/2017,-19,0.27,0.46,0.42,0.58,-0.16
3/31/2017,-19,0.28,0.47,0.43,0.57,-0.14
3/30/2017,-17,0.27,0.44,0.44,0.56,-0.12
3/29/2017,-17,0.27,0.44,0.44,0.56,-0.12
3/28/2017,-17,0.27,0.44,0.45,0.55,-0.10
3/27/2017,-16,0.28,0.44,0.45,0.54,-0.09
3/24/2017,-17,0.29,0.46,0.44,0.56,-0.12
3/23/2017,-14,0.30,0.44,0.47,0.53,-0.06
3/22/2017,-14,0.30,0.44,0.46,0.54,-0.08
3/21/2017,-7,0.33,0.40,0.50,0.50,0.00
3/20/2017,-7,0.35,0.42,0.49,0.51,-0.02
3/17/2017,-9,0.34,0.43,0.48,0.52,-0.04
3/16/2017,-13,0.31,0.44,0.47,0.53,-0.06
3/15/2017,-16,0.28,0.44,0.45,0.54,-0.09
3/14/2017,-13,0.30,0.43,0.46,0.53,-0.07
3/13/2017,-11,0.31,0.42,0.47,0.53,-0.06
3/10/2017,-11,0.32,0.43,0.48,0.52,-0.04
3/9/2017,-8,0.33,0.41,0.49,0.51,-0.02
3/8/2017,-7,0.35,0.42,0.49,0.51,-0.02
3/7/2017,-1,0.37,0.38,0.51,0.49,0.02
3/6/2017,-1,0.37,0.38,0.52,0.48,0.04
3/3/2017,1,0.37,0.36,0.53,0.47,0.06
3/2/2017,-3,0.36,0.39,0.52,0.48,0.04
3/1/2017,-6,0.34,0.40,0.50,0.50,0.00
